iata,icao,airport_id
KTT,EFKT,438
,EFPI,447
,EFPU,449
,EFPY,450
,EFRH,451
RVN,EFRO,453
,EFRN,452
,EFRY,454
TMP,EFTP,458
SVL,EFSA,455
SOT,EFSO,457
,EFTS,459
TKU,EFTU,460
UTI,EFUT,461
VAA,EFVA,462
VRK,EFVR,463
YLI,EFYL,464
ENK,EGAB,466
LDY,EGAE,468
BHD,EGAC,467
,EGBO,474
BFS,EGAA,465
GBA,EGBP,475
,EGBT,476
,EGBG,471
BHX,EGBB,469
MHQ,EFMA,442
CVT,EGBE,470
GLO,EGBJ,472
,EGBW,477
,EGDC,480
MAN,EGCC,478
,EGDM,483
,EGCD,479
NQY,EGHQ,481
LYE,EGDL,482
,EGDX,485
,EGDR,484
YEO,EGDY,486
BRS,EGGD,490
LTN,EGGW,492
CWL,EGFF,488
PLH,EGHD,493
SWS,EGFH,489
LPL,EGGP,491
SOU,EGHI,495
ACI,EGJA,497
BOH,EGHH,494
GCI,EGJB,498
LGW,EGKK,502
JER,EGJJ,499
QLA,EGHL,496
ESH,EGKA,500
LHR,EGLL,507
LYX,EGMD,509
MSE,EGMH,510
SEN,EGMC,508
FAB,EGLF,504
,EGNB,511
CAX,EGNC,512
,EDTF,395
BLK,EGNH,514
KDL,EEKA,412
,EDWF,404
ENF,EFET,417
KAO,EFKS,437
POR,EFPO,448
,EFSE,456
KEM,EFKE,432
HAW,EGFE,487
,EGNE,513
BQH,EGKB,501
LCY,EGLC,503
HUY,EGNJ,515
CEG,EGNR,519
BWF,EGNL,516
,EGLJ,505
IOM,EGNS,520
LBA,EGNM,517
WRT,EGNO,518
,EGOE,525
NCL,EGNT,521
,EGOD,524
BBS,EGLK,506
EMA,EGNX,523
WIC,EGPC,531
LSI,EGPB,530
,EGOW,528
ABZ,EGPD,532
EDI,EGPH,535
,EGOS,526
INV,EGPE,533
MME,EGNV,522
PIK,EGPK,537
SCS,EGPM,539
DND,EGPN,540
SYY,EGPO,541
NWI,EGSH,547
STN,EGSS,548
ILY,EGPI,536
LMO,EGQS,544
CBG,EGSC,545
GLA,EGPF,534
ADX,EGQL,543
,EGSF,546
TRE,EGPU,542
,EGSX,549
,EGTC,551
,EGSY,550
OXF,EGTK,554
FZO,EGTG,553
EXT,EGTE,552
BEX,EGUB,555
LKZ,EGUL,556
,EGUW,558
,EGWC,563
BZZ,EGVN,561
FFD,EGVA,560
MHZ,EGUN,557
NHT,EGWU,564
,EGXD,566
QCY,EGXC,565
ODH,EGVO,562
QUY,EGUY,559
,EGXG,568
,EGXJ,570
,EGXE,567
SQZ,EGXP,571
,EGXT,572
BEQ,EGXH,569
,EGYD,576
,EGXZ,575
KNF,EGYM,578
,EHDL,583
,EHBD,581
MST,EHBK,582
,EHDR,584
KOI,EGPA,529
BEB,EGPL,538
EIN,EHEH,585
,EGYE,577
HRT,EGXU,573
LEY,EHLE,589
GLZ,EHGR,587
GRQ,EHGG,586
ENS,EHTW,593
DHR,EHKD,588
LWR,EHLW,590
UTC,EHSB,592
RTM,EHRD,591
LID,EHVB,594
WOE,EHWO,595
ORK,EICK,596
,EIME,602
GWY,EICM,597
DUB,EIDW,599
SNN,EINN,603
KIR,EIKY,601
NOC,EIKN,600
WTN,EGXW,574
MPN,EGYP,579
SXL,EISG,604
AMS,EHAM,580
WAT,EIWF,605
AAR,EKAH,607
CPH,EKCH,609
EBJ,EKEB,610
BLL,EKBI,608
,EKGH,611
ODE,EKOD,615
,EKPB,616
MRW,EKMB,614
KRP,EKKA,612
BYR,EKLS,613
RKE,EKRK,617
AES,ENAL,630
,EKVD,624
ANX,ENAN,631
STA,EKVJ,627
AAL,EKYT,628
,ENBM,633
ALF,ENAT,632
BNN,ENBN,634
RNN,EKRN,618
LUX,ELLX,629
BOO,ENBO,635
FAE,EKVG,625
BJF,ENBS,637
SKS,EKSP,621
BGO,ENBR,636
SGD,EKSB,619
DLD,ENDI,639
KRS,ENCN,638
TED,EKTS,623
FRO,ENFL,643
SQW,EKSV,622
EVE,ENEV,641
,EKVH,626
BDU,ENDU,640
VDB,ENFG,642
FAN,ENLI,650
MJF,ENMS,652
NTB,ENNO,654
KKN,ENKR,649
OLA,ENOL,655
RYG,ENRY,657
RRS,ENRO,656
LKL,ENNA,653
HAA,ENHK,646
TOS,ENTC,663
SKE,ENSN,659
TRF,ENTO,664
LYR,ENSB,658
SSJ,ENST,662
SRP,ENSO,660
TRD,ENVA,665
,EPBC,667
SVG,ENZV,666
GDN,EPGD,668
KRK,EPKK,669
KSU,ENKB,647
OSL,ENGM,644
MOL,ENML,651
,ENKJ,648
HAU,ENHD,645
,EPML,673
KTW,EPKT,671
POZ,EPPO,674
,EPKM,670
,EPSN,678
OSP,EPSK,677
WRO,EPWR,680
WAW,EPWA,679
RZE,EPRZ,675
,ESCF,682
,ESFR,686
,ESCM,684
GOT,ESGG,687
RNB,ESDF,685
IEG,EPZG,681
,ESCK,683
,ESGK,689
SZZ,EPSC,676
JKG,ESGJ,688
,ESIB,695
LDK,ESGL,690
GSE,ESGP,691
NYO,ESKN,699
THN,ESGT,693
KVB,ESGR,692
,ESIA,694
KSK,ESKK,697
,ESKB,696
,ESKV,700
KID,ESMK,703
,ESNA,712
HAD,ESMT,709
MXX,ESKM,698
,ESMP,706
OSK,ESMO,705
KLR,ESMQ,707
,ESML,704
EVG,ESND,714
VXO,ESMX,711
,ESNC,713
LYC,ESNL,719
,ESMV,710
HUV,ESNH,716
,ESNJ,717
KRF,ESNK,718
SDL,ESNN,721
GEV,ESNG,715
,ESMG,702
,ESNP,723
KRN,ESNQ,724
VHM,ESNV,729
VST,ESOW,733
ARN,ESSA,737
,ESQO,736
ORB,ESOE,731
,ESPE,735
,ESMA,701
,ESNM,720
HLF,ESSF,740
NRK,ESSP,743
BMA,ESSB,738
BLE,ESSD,739
MMX,ESMS,708
GVX,ESSK,741
LPI,ESSL,742
VBY,ESSV,746
AJR,ESNX,730
SPM,ETAD,750
,ESUK,748
RMS,ETAR,751
,ETHE,756
EKT,ESSU,745
,ETHM,759
,ETHN,760
FRZ,ETHF,757
,ETHS,762
,ETHR,761
ZNF,ETID,764
,ETND,768
KZG,ETIN,766
,ETIH,765
,ETIC,763
FCN,ETMN,767
GHF,ETEU,753
RLG,ETNL,772
ZCN,ETHC,755
,ESNR,725
GKE,ETNG,769
,ETNJ,771
,ETNH,770
LLA,ESPA,734
,ETHB,754
,ETNW,777
,ETNN,773
WBG,ETNS,774
,ETOI,778
WIE,ETOU,780
,ETNT,775
,ETSB,782
,ETOR,779
,ETSA,781
,ETSN,788
,ETHL,758
,ETSH,785
FEL,ETSF,784
AGZ,FAAG,791
OER,ESNO,722
ALJ,FAAB,790
,ETSL,787
,FABB,792
BIY,FABE,793
BFN,FABL,794
,FABO,796
,ETSE,783
CPT,FACT,797
,FABM,795
IGS,ETSI,786
,FACV,798
FCB,FAFB,802
,FAEO,801
DUR,FALE,799
ELS,FAEL,800
,FAGT,807
GRJ,FAGG,804
GCJ,FAGC,803
,FAHA,809
,FAGY,808
HDS,FAHS,811
,FAGR,806
HRS,FAHR,810
,FAHV,812
JNB,FAOR,813
KIM,FAKM,815
GUT,ETUO,789
,FAKS,817
,ESNT,727
KXE,FAKD,814
KLZ,FAKZ,819
,FAKR,816
UME,ESNU,728
HLA,FALA,820
,FALM,822
,FALI,821
